recipe_id,recipe_name,ingredient_label,ausnut_public_food_key,ausnut_food_name
R001,Avocado toast with egg,avocado,F000162,"Avocado, raw"
R001,Avocado toast with egg,bread,F001463,"Bread, white, commercial"
R001,Avocado toast with egg,egg,F003729,"Egg, chicken, whole, raw"
R001,Avocado toast with egg,tomato,F009210,"Tomato, raw, not further defined"
R002,Banana peanut oats,banana,F000262,"Banana, cavendish, peeled, raw"
R002,Banana peanut oats,oats,F006143,"Oats, rolled, uncooked"
R002,Banana peanut oats,milk,F005634,"Milk, cow, fluid, regular fat (~3.5%)"
R002,Banana peanut oats,peanut_butter,F006577,"Peanut butter, added sugar & salt"
R003,Apple yoghurt bowl,apple,F000114,"Apple, unpeeled, raw, not further defined"
R003,Apple yoghurt bowl,yoghurt,F009694,"Yoghurt, natural, regular fat (~4%)"
R003,Apple yoghurt bowl,oats,F006143,"Oats, rolled, uncooked"
R004,Strawberry mango yoghurt bowl,strawberry,F008952,"Strawberry, raw"
R004,Strawberry mango yoghurt bowl,mango,F005299,"Mango, peeled, raw"
R004,Strawberry mango yoghurt bowl,yoghurt,F009694,"Yoghurt, natural, regular fat (~4%)"
R004,Strawberry mango yoghurt bowl,oats,F006143,"Oats, rolled, uncooked"
R005,Bacon egg toast,bacon,F000192,"Bacon, middle rasher, lean, raw"
R005,Bacon egg toast,egg,F003729,"Egg, chicken, whole, raw"
R005,Bacon egg toast,bread,F001463,"Bread, white, commercial"
R005,Bacon egg toast,tomato,F009210,"Tomato, raw, not further defined"
R006,Cheese mushroom toastie,cheese,F002414,"Cheese, cheddar, natural, plain"
R006,Cheese mushroom toastie,mushroom,F005946,"Mushroom, common, raw"
R006,Cheese mushroom toastie,bread,F001463,"Bread, white, commercial"
R006,Cheese mushroom toastie,butter,F001973,"Butter, plain, salted"
R007,Banana strawberry smoothie,banana,F000262,"Banana, cavendish, peeled, raw"
R007,Banana strawberry smoothie,strawberry,F008952,"Strawberry, raw"
R007,Banana strawberry smoothie,milk,F005634,"Milk, cow, fluid, regular fat (~3.5%)"
R007,Banana strawberry smoothie,yoghurt,F009694,"Yoghurt, natural, regular fat (~4%)"
R008,Egg spinach toast,egg,F003729,"Egg, chicken, whole, raw"
R008,Egg spinach toast,spinach,F008749,"Spinach, baby, fresh, raw"
R008,Egg spinach toast,bread,F001463,"Bread, white, commercial"
R008,Egg spinach toast,butter,F001973,"Butter, plain, salted"
R009,Mango orange fruit bowl,mango,F005299,"Mango, peeled, raw"
R009,Mango orange fruit bowl,orange,F006277,"Orange, peeled, raw"
R009,Mango orange fruit bowl,grape,F004258,"Grape, raw"
R009,Mango orange fruit bowl,yoghurt,F009694,"Yoghurt, natural, regular fat (~4%)"
