source,label,aliases,ausnut_public_food_key,ausnut_food_name,match_type,notes
vision,apple,"apple, red apple",F000114,"Apple, unpeeled, raw, not further defined",exact,"common raw apple"
vision,avocado,"avocado",F000162,"Avocado, raw",exact,"common raw food item"
vision,bacon,"bacon",F000192,"Bacon, middle rasher, lean, raw",generic,"generic bacon choice"
vision,banana,"banana",F000262,"Banana, cavendish, peeled, raw",exact,"common raw banana"
vision,beef_mince,"beef mince, minced beef",F000655,"Beef, mince, >10% fat, raw",generic,"generic beef mince choice"
vision,bread,"bread",F001463,"Bread, white, commercial",generic,"generic bread choice"
vision,broccoli,"broccoli",F001905,"Broccoli, fresh or frozen, raw",exact,"common raw vegetable"
vision,butter,"butter",F001973,"Butter, plain, salted",exact,"common butter choice"
vision,capsicum,"capsicum, bell pepper",F002234,"Capsicum, raw",exact,"generic raw capsicum"
vision,carrot,"carrot",F002276,"Carrot, raw",exact,"generic raw carrot"
vision,cheese,"cheese",F002414,"Cheese, cheddar, natural, plain",generic,"generic cheese choice"
vision,chicken_breast,"chicken breast",F002594,"Chicken, breast, lean, raw",exact,"common raw chicken breast"
vision,chicken_thigh,"chicken thigh, chicken drumstick",F002806,"Chicken, thigh, lean, raw",generic,"generic chicken thigh choice"
vision,corn,"corn, sweet corn",F003209,"Corn, raw",exact,"generic raw corn"
vision,cucumber,"cucumber",F003323,"Cucumber, raw",exact,"generic raw cucumber"
vision,egg,"egg",F003729,"Egg, chicken, whole, raw",exact,"common egg choice"
vision,garlic,"garlic",F004193,"Garlic, peeled, raw",exact,"generic raw garlic"
vision,grape,"grape, grapes",F004258,"Grape, raw",exact,"generic raw grape"
vision,lemon,"lemon",F005174,"Lemon, peeled, raw",exact,"generic raw lemon"
vision,lettuce,"lettuce",F005194,"Lettuce, raw",exact,"generic raw lettuce"
vision,mango,"mango",F005299,"Mango, peeled, raw",exact,"generic raw mango"
vision,milk,"milk",F005634,"Milk, cow, fluid, regular fat (~3.5%)",generic,"generic cow milk choice"
vision,mushroom,"mushroom",F005946,"Mushroom, common, raw",generic,"common mushroom choice"
vision,onion,"onion",F006225,"Onion, mature, brown skinned, peeled, raw",exact,"common raw onion"
vision,orange,"orange",F006277,"Orange, peeled, raw",exact,"generic raw orange"
vision,pasta,"pasta",F006458,"Pasta, white, plain, dry, uncooked",generic,"generic dry pasta"
vision,pork,"pork",F007019,"Pork, chop, lean, raw",generic,"generic pork choice"
vision,potato,"potato",F007399,"Potato, unpeeled, raw",exact,"generic raw potato"
vision,prawn,"prawn, shrimp",F007433,"Prawn, king or medium, flesh, raw (green)",generic,"generic raw prawn choice"
vision,pumpkin,"pumpkin",F007555,"Pumpkin, peeled, raw",generic,"generic raw pumpkin"
vision,rice,"rice",F007682,"Rice, white, uncooked",generic,"generic uncooked rice"
vision,salmon,"salmon",F007827,"Salmon, Atlantic, raw",generic,"generic raw salmon"
vision,sausage,"sausage",F008112,"Sausage, beef, raw",generic,"generic sausage choice"
vision,spinach,"spinach",F008749,"Spinach, baby, fresh, raw",exact,"common raw spinach"
vision,strawberry,"strawberry",F008952,"Strawberry, raw",exact,"generic raw strawberry"
vision,tofu,"tofu",F009176,"Tofu (soy bean curd), firm, as purchased",exact,"common tofu choice"
vision,tomato,"tomato",F009210,"Tomato, raw, not further defined",exact,"generic raw tomato"
vision,yoghurt,"yoghurt, yogurt",F009694,"Yoghurt, natural, regular fat (~4%)",generic,"generic natural yoghurt"
vision,zucchini,"zucchini, courgette",F009775,"Zucchini, green skin, raw",exact,"generic raw zucchini"
