recipe_id,recipe_name,meal_type,cuisine_style,ingredients,steps,dietary_tags,missing_allowed,notes
R001,Avocado toast with egg,breakfast,Australian cafe,"avocado;bread;egg;tomato","Toast bread;Mash avocado;Cook egg;Serve with tomato","vegetarian",false,"Common Australian cafe breakfast"
R002,Banana peanut oats,breakfast,Australian everyday,"banana;oats;milk;peanut_butter","Cook oats with milk;Slice banana;Top with peanut butter","vegetarian",false,"Common home breakfast"
R003,Apple yoghurt bowl,breakfast,Australian everyday,"apple;yoghurt;oats","Slice apple;Add yoghurt;Top with oats","vegetarian;low-calorie",false,"Simple breakfast"
R004,Strawberry mango yoghurt bowl,breakfast,Australian everyday,"strawberry;mango;yoghurt;oats","Prepare fruit;Add yoghurt;Top with oats","vegetarian;low-calorie",false,"Fruit breakfast bowl"
R005,Bacon egg toast,breakfast,Australian cafe,"bacon;egg;bread;tomato","Cook bacon and egg;Toast bread;Serve with tomato","high-protein",false,"Cafe-style breakfast plate"
R006,Cheese mushroom toastie,breakfast,Australian cafe,"cheese;mushroom;bread;butter","Butter bread;Add cheese and mushroom;Toast until warm","vegetarian",false,"Toastie-style meal"
R007,Banana strawberry smoothie,breakfast,Australian everyday,"banana;strawberry;milk;yoghurt","Blend banana strawberry milk and yoghurt;Serve cold","vegetarian",false,"Quick breakfast drink"
R008,Egg spinach toast,breakfast,Australian cafe,"egg;spinach;bread;butter","Toast bread;Cook egg;Add spinach and butter","vegetarian",false,"Simple breakfast"
R009,Mango orange fruit bowl,breakfast,Australian everyday,"mango;orange;grape;yoghurt","Prepare fruit;Add yoghurt;Serve cold","vegetarian;low-calorie",false,"Fruit breakfast"
R010,Avocado salmon toast,breakfast,Australian cafe,"avocado;salmon;bread;lemon","Toast bread;Add avocado and salmon;Serve with lemon","high-protein",false,"Cafe-style breakfast"
R011,Egg tomato toast,breakfast,Australian cafe,"egg;tomato;bread;cheese","Toast bread;Cook egg;Add tomato and cheese","vegetarian",false,"Quick cafe-style toast"
R012,Apple banana oats,breakfast,Australian everyday,"apple;banana;oats;milk","Cook oats with milk;Add apple and banana","vegetarian",false,"Family breakfast"
R013,Mushroom avocado toast,breakfast,Australian cafe,"mushroom;avocado;bread;garlic","Toast bread;Cook mushroom with garlic;Add avocado","vegetarian",false,"Cafe-style vegetarian breakfast"
R014,Peanut butter banana toast,breakfast,Australian everyday,"peanut_butter;banana;bread","Toast bread;Add peanut butter and banana","vegetarian",false,"Common quick breakfast"
R015,Spinach cheese egg toastie,breakfast,Australian cafe,"spinach;cheese;egg;bread;butter","Butter bread;Add spinach cheese and egg;Toast","vegetarian",false,"Hot breakfast toastie"
R016,Chicken rice salad,lunch,Australian everyday,"chicken_breast;rice;lettuce;cucumber;tomato","Cook rice;Cook chicken;Slice vegetables;Serve together","high-protein;low-calorie",false,"Common lunch bowl"
R017,Salmon avocado rice bowl,lunch,Australian cafe,"salmon;avocado;rice;cucumber;lemon","Cook rice;Cook salmon;Add avocado and cucumber;Serve with lemon","high-protein",false,"Balanced lunch"
R018,Chicken Caesar-style wrap,lunch,Australian cafe,"chicken_breast;tortilla;lettuce;cheese;bacon","Warm tortilla;Cook chicken and bacon;Add lettuce and cheese;Wrap","high-protein",false,"Cafe-style wrap"
R019,Vegetarian salad wrap,lunch,Australian everyday,"tortilla;lettuce;tomato;cucumber;cheese;avocado","Warm tortilla;Add vegetables cheese and avocado;Wrap","vegetarian",false,"Common takeaway-style lunch"
R020,Beef mince rice bowl,lunch,Australian everyday,"beef_mince;rice;carrot;corn;soy_sauce","Cook rice;Cook beef mince with carrot and corn;Add soy sauce","high-protein",false,"Meal-prep bowl"
R021,Tofu veggie rice bowl,lunch,Australian everyday,"tofu;rice;broccoli;capsicum;mushroom","Cook rice;Cook tofu;Cook vegetables;Serve together","vegetarian",false,"Plant-based lunch"
